rownum,question,score
2,,
3,,
4,,
5,,
6,infrastructure,0
7,infrastructure,0.25
8,infrastructure,0.75
9,infrastructure,1
10,infrastructure,0.5
11,,
12,,
13,water_rights,0
14,water_rights,0.2
15,water_rights,0.4
16,water_rights,0.5
17,water_rights,0.75
18,water_rights,1
19,,
20,,
21,surrounding_land_use,1
22,surrounding_land_use,0
23,surrounding_land_use,0.5
24,,
25,,
26,,
27,public_perception,0
28,public_perception,1
29,public_perception,0.4
30,public_perception,0.5
31,public_perception,0.75
32,,
33,,
34,contamination_or_hazardous_waste,0
35,contamination_or_hazardous_waste,1
36,contamination_or_hazardous_waste,0.8
37,,
38,,
39,property_value,1
40,property_value,0
41,property_value,0.5
42,,
43,,
44,,
45,,
46,relationship_to_protected_areas,1
47,relationship_to_protected_areas,0
48,relationship_to_protected_areas,0.5
49,,
50,,
51,identified_in_conservation_plan,1
52,identified_in_conservation_plan,0
53,identified_in_conservation_plan,0.5
54,,
55,,
56,,
57,species_of_interest,1
58,species_of_interest,0
59,species_of_interest,0.5
60,,
61,,
62,habitat_features,1
63,habitat_features,0
64,habitat_features,0.5
65,,
66,,
67,intact_floodplain_forest,1
68,intact_floodplain_forest,0
69,intact_floodplain_forest,0.5
70,,
71,,
72,,
73,water_quality,0
74,water_quality,0.75
75,water_quality,0.5
76,water_quality,0.75
77,water_quality,1
78,,
79,,
80,downstream,1
81,downstream,0
82,downstream,0.5
83,downstream,1
84,,
85,,
86,,
87,gradient,1
88,gradient,0
89,gradient,0.5
90,,
91,,
92,within_x_year_floodplain,1
93,within_x_year_floodplain,0
94,within_x_year_floodplain,0.5
95,,
96,,
97,location_in_floodplain,1
98,location_in_floodplain,0
99,location_in_floodplain,0.5
100,,
101,,
102,,
103,channel_mobility,1
104,channel_mobility,0
105,channel_mobility,0.5
106,,
107,,
108,material_availability,1
109,material_availability,0
110,material_availability,0.5
111,,
112,,
113,infrastructure_constraints,1
114,infrastructure_constraints,0
115,infrastructure_constraints,0.5
116,,
117,,
118,,
119,,
120,continuing_property_access,0
121,continuing_property_access,1
122,continuing_property_access,0.5
123,,
124,,
125,fill_material_availability,1
126,fill_material_availability,0
127,fill_material_availability,0.5
128,,
129,,
130,site_accessibility,1
131,site_accessibility,0
132,site_accessibility,0.5
133,,
134,,
135,,
136,species_of_interest,1
137,species_of_interest,0
138,species_of_interest,0.5
139,,
140,,
141,habitat_features,1
142,habitat_features,0
143,habitat_features,0.5
144,,
145,,
146,intact_floodplain_forest,1
147,intact_floodplain_forest,0
148,intact_floodplain_forest,0.5
149,,
150,,
151,,
152,,
153,contamination,0
154,contamination,0.25
155,contamination,0.5
156,contamination,0.5
157,contamination,0.75
158,contamination,1
159,,
160,,
161,adjacent_river_depth,
162,,
163,slope_distance_to_river,
164,,
165,,
166,pit_adjacent_levees,1
167,pit_adjacent_levees,0
168,pit_adjacent_levees,0.5
169,,
170,,
171,,
172,bank_slope,0
173,bank_slope,0.5
174,bank_slope,1
175,,
176,surface_area,
177,,
178,complexity,
